GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-01-01T01:00;01.01.2024 1:00;0.6;226;99;1008;5.9;38;;;39.2;5.5;2.5;8.2;221.7
2024-01-01T02:00;01.01.2024 2:00;0.5;237;99;1009;5.6;26;;;34.5;5.5;2.5;9;238.1
2024-01-01T03:00;01.01.2024 3:00;0.3;260;99;1009;5.8;29;;;32.2;5.5;2.5;11.9;246.5
2024-01-01T04:00;01.01.2024 4:00;0.2;319;98;1008;6.3;13;;;37.4;5.5;2.5;12.6;203.9
2024-01-01T05:00;01.01.2024 5:00;0.2;262;99;1008;5.7;21;;;39.1;5.5;2.5;9.8;100
2024-01-01T06:00;01.01.2024 6:00;0.3;242;99;1009;4.8;3;;;43.7;5.5;2.5;8.8;100
2024-01-01T07:00;01.01.2024 7:00;1.3;322;99;1009;3.7;3;;;66.1;5.5;2.5;4;100
2024-01-01T08:00;01.01.2024 8:00;0.4;292;99;1010;2.8;3;;;66.9;5.5;2.5;4;100
2024-01-01T09:00;01.01.2024 9:00;0.8;222;99;1010;2.8;5;;;66.1;5.5;2.5;4;100
2024-01-01T10:00;01.01.2024 10:00;1;204;99;1010;3;3;;;62.4;5.5;2.5;4;100
2024-01-01T11:00;01.01.2024 11:00;1.6;195;99;1010;3.1;3;;;61.8;5.5;2.5;4;100
2024-01-01T12:00;01.01.2024 12:00;1.6;197;99;1009;3.5;6;;;54.8;5.5;2.5;4;100
2024-01-01T13:00;01.01.2024 13:00;1.5;198;99;1009;4.3;10;;;54.4;5.5;2.5;4;100
2024-01-01T14:00;01.01.2024 14:00;1.4;209;99;1010;4.6;11;;;52.5;5.5;2.5;4;100
2024-01-01T15:00;01.01.2024 15:00;1.4;212;99;1010;4.7;10;;;50.7;5.5;2.5;4;100
2024-01-01T16:00;01.01.2024 16:00;1.2;207;99;1010;5.1;10;;;47.9;5.5;2.5;4;100
2024-01-01T17:00;01.01.2024 17:00;1.1;217;97;1011;4.9;12;;;47.5;5.5;2.5;4;100
2024-01-01T18:00;01.01.2024 18:00;1.1;208;95;1011;4.8;9;;;46.6;5.5;2.5;4;100
2024-01-01T19:00;01.01.2024 19:00;1.6;208;93;1012;4.5;11;;;48.9;5.5;2.5;4;100
2024-01-01T20:00;01.01.2024 20:00;1.4;210;93;1012;4.3;11;;;47.5;5.5;2.5;4;100
2024-01-01T21:00;01.01.2024 21:00;1.5;208;93;1012;3.9;10;;;49.1;5.5;2.5;4;100
2024-01-01T22:00;01.01.2024 22:00;1.5;206;89;1012;4.2;8;;;51;5.5;2.5;4;100
2024-01-01T23:00;01.01.2024 23:00;1.2;210;91;1012;3.8;11;;;48.8;5.5;2.5;4;100
2024-01-02T00:00;02.01.2024 0:00;1.5;207;88;1012;4.3;9;;;51.9;5.5;2.5;4;100
2024-01-02T01:00;02.01.2024 1:00;1.3;216;89;1012;4.2;9;;;50.5;5.5;2.5;4;100
2024-01-02T02:00;02.01.2024 2:00;1.4;211;88;1012;4.3;3;;;52.3;5.5;2.5;4;100
2024-01-02T03:00;02.01.2024 3:00;1.6;205;90;1012;3.7;3;;;51.5;5.5;2.5;4;100
2024-01-02T04:00;02.01.2024 4:00;1.4;220;92;1012;3.1;5;;;49.9;5.5;2.5;4;100
2024-01-02T05:00;02.01.2024 5:00;1.7;210;91;1012;2.9;3;;;49.7;5.5;2.5;4;100
2024-01-02T06:00;02.01.2024 6:00;1.4;207;93;1012;2.5;3;;;46.6;5.5;2.5;8.4;100
2024-01-02T07:00;02.01.2024 7:00;0.8;211;95;1012;2.1;7;;;40.2;5.5;2.5;11.8;100
2024-01-02T08:00;02.01.2024 8:00;0.9;209;95;1011;2.5;11;;;37.1;5.5;2.5;14.6;100
2024-01-02T09:00;02.01.2024 9:00;0.8;207;92;1011;3.4;14;;;32.7;5.5;2.5;20.1;100
2024-01-02T10:00;02.01.2024 10:00;1;209;87;1010;4.5;10;;;41.4;5.5;2.5;13.3;100
2024-01-02T11:00;02.01.2024 11:00;1.1;201;81;1009;5.4;3;;;47.5;5.5;2.5;11;100
2024-01-02T12:00;02.01.2024 12:00;0.9;196;80;1008;5.5;6;;;46;5.5;2.5;14.1;100
2024-01-02T13:00;02.01.2024 13:00;1;206;81;1007;5.3;8;;;46.2;5.5;2.5;13;100
2024-01-02T14:00;02.01.2024 14:00;2.3;193;73;1006;6;3;;;59.1;5.5;2.5;10.2;100
2024-01-02T15:00;02.01.2024 15:00;2.3;187;77;1005;5.7;3;;;64.7;5.5;2.5;4;100
2024-01-02T16:00;02.01.2024 16:00;2.4;191;78;1005;5.8;8;;;67.5;5.5;2.5;4;100
2024-01-02T17:00;02.01.2024 17:00;2.1;194;81;1004;5.5;7;;;63.2;5.5;2.5;4;100
2024-01-02T18:00;02.01.2024 18:00;1.9;191;81;1004;5.6;8;;;60.4;5.5;2.5;4;100
2024-01-02T19:00;02.01.2024 19:00;2.1;193;84;1003;5.7;3;;;62.4;5.5;2.5;4;100
2024-01-02T20:00;02.01.2024 20:00;2;191;89;1002;5.4;8;;;61.2;5.5;2.5;4;100
2024-01-02T21:00;02.01.2024 21:00;1.5;187;98;1001;4.5;7;;;57.3;5.5;2.5;4;100
2024-01-02T22:00;02.01.2024 22:00;1.5;199;99;1001;4.2;7;;;55.4;5.5;2.5;4;100
2024-01-02T23:00;02.01.2024 23:00;1.5;193;99;1000;4.4;6;;;53.1;5.5;2.5;4;100
2024-01-03T00:00;03.01.2024 0:00;1.7;192;99;999;4.8;3;;;53.9;5.5;2.5;4;100
2024-01-03T01:00;03.01.2024 1:00;1.9;195;99;998;5.3;6;;;54.6;5.5;2.5;4;100
2024-01-03T02:00;03.01.2024 2:00;2.1;199;99;997;6.4;11;;;60.3;5.5;2.5;4;100
2024-01-03T03:00;03.01.2024 3:00;1.5;214;99;996;7.1;12;;;64.5;5.5;2.5;4;100
2024-01-03T04:00;03.01.2024 4:00;2.2;212;99;997;7.2;7;;;62.9;5.5;2.5;4;100
2024-01-03T05:00;03.01.2024 5:00;2.1;208;99;997;7.1;6;;;61.4;5.5;2.5;4;100
2024-01-03T06:00;03.01.2024 6:00;1.6;209;98;997;7;3;;;55.8;5.5;2.5;4;100
2024-01-03T07:00;03.01.2024 7:00;1.8;208;96;997;7.2;13;;;54.6;5.5;2.5;9;100
2024-01-03T08:00;03.01.2024 8:00;1.4;207;93;998;7.7;9;;;54.3;5.5;2.5;9.1;100
2024-01-03T09:00;03.01.2024 9:00;1.8;206;90;999;8.2;10;;;55.5;5.5;2.5;9;100
2024-01-03T10:00;03.01.2024 10:00;2.2;204;85;999;9.1;3;;;59.8;5.5;2.5;4;100
2024-01-03T11:00;03.01.2024 11:00;1.7;211;82;999;9.5;11;;;59.6;5.5;2.5;8.2;100
2024-01-03T12:00;03.01.2024 12:00;1.9;208;80;999;9.8;3;;;60.2;5.5;2.5;8.2;100
2024-01-03T13:00;03.01.2024 13:00;1.9;209;80;999;9.8;12;;;60;5.5;2.5;8.1;100
2024-01-03T14:00;03.01.2024 14:00;1.5;206;78;999;10.1;3;;;60.8;5.5;2.5;8.8;100
2024-01-03T15:00;03.01.2024 15:00;1.8;199;76;999;10;3;;;61.2;5.5;2.5;9.9;100
2024-01-03T16:00;03.01.2024 16:00;1.7;202;77;999;9.6;6;;;64;5.5;2.5;8.7;100
2024-01-03T17:00;03.01.2024 17:00;1.6;195;76;999;9.5;3;;;61.8;5.5;2.5;9.7;100
2024-01-03T18:00;03.01.2024 18:00;1.9;203;74;998;9.8;7;;;64.5;5.5;2.5;8;100
2024-01-03T19:00;03.01.2024 19:00;1.8;206;75;999;9.5;7;;;64.3;5.5;2.5;8.2;100
2024-01-03T20:00;03.01.2024 20:00;1.6;200;76;999;9.4;3;;;67.9;5.5;2.5;4;100
2024-01-03T21:00;03.01.2024 21:00;1.8;204;76;999;9.5;3;;;67.6;5.5;2.5;4;100
2024-01-03T22:00;03.01.2024 22:00;1.1;211;76;998;9.3;6;;;63.7;5.5;2.5;4;100
2024-01-03T23:00;03.01.2024 23:00;1.3;210;78;998;8.9;7;;;63.6;5.5;2.5;4;100
2024-01-04T00:00;04.01.2024 0:00;2;197;77;998;8.8;3;;;67.6;5.5;2.5;4;100
2024-01-04T01:00;04.01.2024 1:00;1.5;205;78;998;9;10;;;68.9;5.5;2.5;4;100
2024-01-04T02:00;04.01.2024 2:00;1.3;191;98;997;6.9;15;;;64.1;5.5;2.5;4;100
2024-01-04T03:00;04.01.2024 3:00;2.2;196;99;997;6.6;3;;;65.8;5.5;2.5;4;100
2024-01-04T04:00;04.01.2024 4:00;2.3;205;96;997;7.1;3;;;67.9;5.5;2.5;4;100
2024-01-04T05:00;04.01.2024 5:00;1.6;214;88;997;7.8;3;;;65.6;5.5;2.5;4;100
2024-01-04T06:00;04.01.2024 6:00;1.9;216;86;997;7.8;3;;;64.3;5.5;2.5;4;100
2024-01-04T07:00;04.01.2024 7:00;1.7;217;84;998;7.9;5;;;64.3;5.5;2.5;4;100
2024-01-04T08:00;04.01.2024 8:00;1.6;203;87;998;7.6;9;;;61.7;5.5;2.5;9.9;100
2024-01-04T09:00;04.01.2024 9:00;1.8;206;84;998;7.9;3;;;62.7;5.5;2.5;8.8;100
2024-01-04T10:00;04.01.2024 10:00;1.7;208;82;999;8.1;3;;;63;5.5;2.5;8.6;100
