gmt;pm10 (μg/m³);pm2_5 (μg/m³);carbon_monoxide (μg/m³);nitrogen_dioxide (μg/m³);sulphur_dioxide (μg/m³);ozone (μg/m³);dust (μg/m³);uv_index ();ammonia (μg/m³)
2023-11-01T01:00;10.0;;200.0;6.5;1.9;41.0;0.0;;1.4
2023-11-01T02:00;10.4;;200.0;6.4;1.7;41.0;0.0;;1.3
2023-11-01T03:00;11.0;;200.0;7.1;1.7;40.0;0.0;;1.1
2023-11-01T04:00;11.4;;201.0;7.8;1.6;39.0;0.0;;1.1
2023-11-01T05:00;12.4;;211.0;9.1;2.0;36.0;0.0;;1.2
2023-11-01T06:00;14.0;;238.0;11.7;2.7;31.0;0.0;;1.3
2023-11-01T07:00;14.5;;259.0;12.5;3.0;32.0;0.0;;1.5
2023-11-01T08:00;13.0;;240.0;10.5;2.8;33.0;0.0;;1.2
2023-11-01T09:00;10.4;;224.0;7.8;2.7;37.0;0.0;;1.1
2023-11-01T10:00;8.6;;209.0;7.3;2.6;39.0;0.0;;1.1
2023-11-01T11:00;7.8;;200.0;6.0;2.5;39.0;0.0;;1.1
2023-11-01T12:00;7.4;;194.0;5.9;2.3;42.0;0.0;;1.0
2023-11-01T13:00;7.4;;199.0;6.1;2.3;45.0;0.0;;1.1
2023-11-01T14:00;7.7;;205.0;8.1;2.3;47.0;0.0;;1.4
2023-11-01T15:00;7.8;;209.0;9.6;2.8;46.0;0.0;;1.6
2023-11-01T16:00;9.1;;231.0;11.7;2.8;41.0;0.0;;1.9
2023-11-01T17:00;11.1;;255.0;16.9;3.2;40.0;0.0;;2.0
2023-11-01T18:00;13.8;;292.0;16.8;3.8;41.0;0.0;;2.0
2023-11-01T19:00;15.2;;289.0;14.1;3.4;41.0;0.0;;1.8
2023-11-01T20:00;13.3;;258.0;10.7;3.0;47.0;0.0;;1.7
2023-11-01T21:00;11.1;;239.0;8.2;2.9;50.0;0.0;;1.5
2023-11-01T22:00;8.3;;198.0;6.5;2.4;51.0;0.0;;1.3
2023-11-01T23:00;8.0;;187.0;5.5;2.0;52.0;0.0;;1.2
2023-11-02T00:00;8.7;;190.0;5.1;2.0;53.0;0.0;;1.0
2023-11-02T01:00;10.9;;207.0;6.3;2.2;50.0;0.0;;1.0
2023-11-02T02:00;11.5;;220.0;6.9;2.8;48.0;0.0;;1.1
2023-11-02T03:00;11.3;;236.0;8.2;3.0;45.0;0.0;;1.2
2023-11-02T04:00;11.3;;227.0;8.0;3.7;44.0;0.0;;1.2
2023-11-02T05:00;12.3;;234.0;10.0;3.6;46.0;0.0;;1.3
2023-11-02T06:00;13.8;;257.0;12.9;4.5;43.0;0.0;;1.8
2023-11-02T07:00;14.1;;260.0;13.7;5.4;44.0;0.0;;1.4
2023-11-02T08:00;11.4;;209.0;7.0;4.4;51.0;0.0;;1.0
2023-11-02T09:00;9.1;;189.0;5.2;3.9;57.0;0.0;;0.8
2023-11-02T10:00;8.3;;182.0;4.0;3.6;62.0;0.0;;0.7
2023-11-02T11:00;7.4;;178.0;4.1;3.2;63.0;0.0;;0.7
2023-11-02T12:00;7.2;;177.0;3.8;2.7;64.0;0.0;;0.7
2023-11-02T13:00;7.6;;177.0;4.5;2.6;64.0;0.0;;0.7
2023-11-02T14:00;7.6;;177.0;5.5;2.5;64.0;0.0;;0.9
2023-11-02T15:00;8.9;;179.0;5.9;2.6;63.0;0.0;;1.0
2023-11-02T16:00;9.0;;184.0;6.5;2.4;61.0;0.0;;1.2
2023-11-02T17:00;8.9;;189.0;6.1;2.3;61.0;0.0;;1.1
2023-11-02T18:00;9.5;;191.0;5.9;2.1;62.0;0.0;;1.0
2023-11-02T19:00;9.3;;188.0;5.5;2.1;62.0;0.0;;0.8
2023-11-02T20:00;8.5;;188.0;4.7;2.1;63.0;0.0;;0.7
2023-11-02T21:00;7.6;;180.0;4.1;1.9;65.0;0.0;;0.6
2023-11-02T22:00;6.4;;169.0;3.6;2.1;67.0;0.0;;0.5
2023-11-02T23:00;6.2;;160.0;3.5;1.9;67.0;0.0;;0.4
2023-11-03T00:00;4.8;;157.0;2.7;1.6;66.0;0.0;;0.3
2023-11-03T01:00;5.1;;156.0;2.6;1.8;66.0;0.0;;0.3
2023-11-03T02:00;4.8;;157.0;2.5;1.8;66.0;0.0;;0.2
2023-11-03T03:00;4.9;;159.0;2.7;2.0;64.0;0.0;;0.2
2023-11-03T04:00;5.3;;165.0;3.2;2.2;62.0;0.0;;0.2
2023-11-03T05:00;5.5;;172.0;3.9;2.4;61.0;0.0;;0.3
2023-11-03T06:00;6.6;;185.0;5.8;2.9;59.0;0.0;;0.4
2023-11-03T07:00;6.6;;192.0;7.0;3.1;56.0;0.0;;0.5
2023-11-03T08:00;6.4;;188.0;7.0;3.0;56.0;0.0;;0.4
2023-11-03T09:00;7.6;;186.0;7.5;2.7;57.0;0.0;;0.5
2023-11-03T10:00;7.3;;175.0;6.7;2.1;57.0;0.0;;0.5
2023-11-03T11:00;6.4;;178.0;7.0;1.8;56.0;0.0;;0.5
2023-11-03T12:00;5.9;;187.0;7.6;1.7;55.0;0.0;;0.5
2023-11-03T13:00;6.0;;191.0;8.3;1.8;53.0;0.0;;0.5
2023-11-03T14:00;6.5;;201.0;10.0;1.9;49.0;0.0;;0.6
2023-11-03T15:00;7.4;;217.0;11.7;1.9;48.0;0.0;;0.6
2023-11-03T16:00;8.5;;224.0;14.1;2.2;43.0;0.0;;0.7
2023-11-03T17:00;10.7;;255.0;17.7;2.4;34.0;0.0;;0.8
2023-11-03T18:00;12.7;;275.0;16.8;2.8;32.0;0.0;;0.7
2023-11-03T19:00;12.0;;278.0;13.9;2.9;35.0;0.0;;0.6
2023-11-03T20:00;10.8;;256.0;10.1;2.8;45.0;0.0;;0.7
2023-11-03T21:00;10.2;;260.0;9.5;2.8;44.0;0.0;;0.6
2023-11-03T22:00;9.1;;232.0;8.9;2.3;39.0;0.0;;0.6
2023-11-03T23:00;8.4;;209.0;8.2;2.2;41.0;0.0;;0.5
2023-11-04T00:00;8.2;;203.0;8.0;2.2;44.0;0.0;;0.6
2023-11-04T01:00;8.7;;207.0;8.1;1.9;45.0;0.0;;0.6
2023-11-04T02:00;9.7;;212.0;7.5;1.7;41.0;0.0;;0.6
2023-11-04T03:00;11.1;;206.0;7.3;1.4;39.0;0.0;;0.6
2023-11-04T04:00;11.2;;200.0;7.7;1.4;38.0;0.0;;0.7
2023-11-04T05:00;13.2;;208.0;9.1;1.8;37.0;0.0;;0.8
2023-11-04T06:00;15.9;;231.0;11.5;2.5;33.0;0.0;;0.8
2023-11-04T07:00;15.5;;244.0;11.3;2.9;31.0;0.0;;0.9
2023-11-04T08:00;14.9;;230.0;8.6;2.8;37.0;0.0;;0.8
2023-11-04T09:00;13.6;;217.0;6.6;2.8;41.0;0.0;;0.7
2023-11-04T10:00;11.6;;208.0;5.2;2.6;44.0;0.0;;0.9
2023-11-04T11:00;9.5;;200.0;4.7;2.5;51.0;0.0;;0.9
2023-11-04T12:00;8.3;;194.0;4.1;2.3;57.0;0.0;;0.9
2023-11-04T13:00;7.3;;193.0;4.7;2.4;59.0;0.0;;0.9
2023-11-04T14:00;8.2;;197.0;5.6;2.5;57.0;0.0;;0.9
2023-11-04T15:00;10.7;;212.0;9.2;2.7;52.0;0.0;;1.5
2023-11-04T16:00;13.6;;240.0;12.7;3.0;46.0;0.0;;1.8
2023-11-04T17:00;15.4;;265.0;15.6;2.9;44.0;0.0;;1.8
2023-11-04T18:00;15.8;;283.0;14.0;3.1;45.0;0.0;;1.5
2023-11-04T19:00;14.8;;265.0;13.1;3.7;48.0;0.0;;1.2
2023-11-04T20:00;10.9;;239.0;9.6;3.2;51.0;0.0;;1.1
2023-11-04T21:00;9.5;;202.0;5.5;2.0;53.0;0.0;;0.9
2023-11-04T22:00;7.9;;189.0;4.3;1.6;55.0;0.0;;0.7
2023-11-04T23:00;7.1;;178.0;3.4;1.1;57.0;0.0;;0.8
2023-11-05T00:00;6.7;;173.0;3.1;1.0;55.0;0.0;;0.6
2023-11-05T01:00;6.2;;171.0;3.2;0.9;55.0;0.0;;0.6
2023-11-05T02:00;6.0;;169.0;3.3;1.1;53.0;0.0;;0.6
2023-11-05T03:00;5.2;;169.0;3.5;0.8;54.0;0.0;;0.6
2023-11-05T04:00;4.8;;170.0;3.9;1.2;52.0;0.0;;0.5
2023-11-05T05:00;4.3;;174.0;4.4;1.4;51.0;0.0;;0.5
