GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-04-01T01:00;01.04.2024 1:00;0.9;194;63;1002;14.5;87;29;7;72.4;5.5;2.5;4;100
2024-04-01T02:00;01.04.2024 2:00;1.4;182;62;1002;14.7;82;27;6;76.9;5.5;2.5;4;100
2024-04-01T03:00;01.04.2024 3:00;2.1;186;60;1001;15.3;80;27;6;80;5.5;2.5;4;100
2024-04-01T04:00;01.04.2024 4:00;2;189;60;1001;15.6;92;30;7;80.5;5.5;2.5;4;100
2024-04-01T05:00;01.04.2024 5:00;2.6;184;60;1000;16.3;165;47;10;79.6;5.5;2.5;4;100
2024-04-01T06:00;01.04.2024 6:00;2.6;181;59;999;16.8;174;49;11;78.8;5.5;2.5;4;100
2024-04-01T07:00;01.04.2024 7:00;3.1;186;56;999;17.8;171;49;11;77.9;5.5;2.5;4;100
2024-04-01T08:00;01.04.2024 8:00;2.7;184;53;999;18.7;171;49;10;76.4;5.5;2.5;4;100
2024-04-01T09:00;01.04.2024 9:00;2.9;173;48;998;20.2;196;54;11;77.5;5.5;2.5;4;100
2024-04-01T10:00;01.04.2024 10:00;3.1;178;45;998;21.1;201;54;11;77.4;5.5;2.5;4;100
2024-04-01T11:00;01.04.2024 11:00;2.9;183;44;997;21.6;181;50;11;76.3;5.5;2.5;4;100
2024-04-01T12:00;01.04.2024 12:00;3.3;181;40;997;22.3;170;47;10;77.9;5.5;2.5;4;100
2024-04-01T13:00;01.04.2024 13:00;3.2;186;36;997;23.6;186;51;10;79.5;5.5;2.5;4;100
2024-04-01T14:00;01.04.2024 14:00;4;187;33;996;24.6;206;55;11;83.4;5.5;2.5;4;100
2024-04-01T15:00;01.04.2024 15:00;3.1;183;32;996;24.5;206;57;12;83.4;5.5;2.5;4;100
2024-04-01T16:00;01.04.2024 16:00;3;185;33;996;23.9;229;64;13;82.5;5.5;2.5;4;100
2024-04-01T17:00;01.04.2024 17:00;3.5;185;33;996;23.4;238;69;15;82.3;5.5;2.5;4;100
2024-04-01T18:00;01.04.2024 18:00;3.5;184;35;995;22.9;252;74;17;83.3;5.5;2.5;4;100
2024-04-01T19:00;01.04.2024 19:00;1.8;206;40;996;21.8;244;73;17;78.7;5.5;2.5;4;100
2024-04-01T20:00;01.04.2024 20:00;0.9;257;57;998;18.2;101;33;8;70.7;5.5;2.5;4;100
