Čas,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23
2024-02-01T00:10:00Z,2324.4,609.66666666667,99.916666666667,10.066666666667,5.5333333333333,3.3,1,0.23333333333333,0.16666666666667,0.033333333333333,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T00:20:00Z,2248.1,583.5,97.283333333333,9.8166666666667,5.65,2.65,0.85,0.26666666666667,0.11666666666667,0.016666666666667,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T00:30:00Z,2257.6666666667,600.28333333333,105.55,10.383333333333,5.9333333333333,2.8333333333333,1.0333333333333,0.23333333333333,0.15,0.083333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T00:40:00Z,2237.5166666667,614.05,108.85,11.516666666667,6.0666666666667,3.3833333333333,1.05,0.21666666666667,0.15,0.083333333333333,0.016666666666667,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T00:50:00Z,2351.8833333333,680.98333333333,123.91666666667,12.25,6.5833333333333,3.6833333333333,1.2,0.26666666666667,0.18333333333333,0.083333333333333,0.016666666666667,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T01:00:00Z,2328.1666666667,687.56666666667,129.05,12.366666666667,6.9833333333333,3.65,0.95,0.25,0.16666666666667,0.066666666666667,0.033333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T01:10:00Z,2337.4,705.55,131.38333333333,13.933333333333,7.3,3.6,1.2166666666667,0.3,0.18333333333333,0.066666666666667,0.033333333333333,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T01:20:00Z,2251.1666666667,673.18333333333,128.06666666667,12.716666666667,7.0333333333333,3.0166666666667,0.95,0.18333333333333,0.1,0.05,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T01:30:00Z,2273.6,673.4,127.88333333333,12.716666666667,7.2333333333333,3.3666666666667,0.7,0.33333333333333,0.15,0.066666666666667,0,0.016666666666667,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T01:40:00Z,2343.0666666667,713.38333333333,136.11666666667,14.2,7.1666666666667,3.4166666666667,1.2,0.28333333333333,0.1,0.066666666666667,0,0,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0
2024-02-01T01:50:00Z,2457.5833333333,775.7,148.75,14.733333333333,7.4833333333333,3.8166666666667,0.95,0.31666666666667,0.21666666666667,0.083333333333333,0.033333333333333,0.05,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T02:00:00Z,2428.1166666667,772.08333333333,147.71666666667,13.95,7.7833333333333,3.9333333333333,0.81666666666667,0.36666666666667,0.21666666666667,0.083333333333333,0.016666666666667,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T02:10:00Z,2438.4166666667,794.1,155.98333333333,15.566666666667,7.5833333333333,3.55,1.2666666666667,0.26666666666667,0.13333333333333,0.066666666666667,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T02:20:00Z,2357.4333333333,763.11666666667,152.45,15.733333333333,8,3.5166666666667,1.1,0.3,0.26666666666667,0.066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T02:30:00Z,2417.5833333333,787.28333333333,156,15.633333333333,8.2166666666667,3.8833333333333,1.2666666666667,0.43333333333333,0.35,0.11666666666667,0.033333333333333,0,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T02:40:00Z,2314.7,731.25,142.36666666667,13.8,7.3,4.0166666666667,1.15,0.45,0.23333333333333,0.05,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T02:50:00Z,2388.85,795.26666666667,164.05,16.9,8.3666666666667,3.7,1.5166666666667,0.31666666666667,0.26666666666667,0.066666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01T03:00:00Z,2280.15,735.33333333333,151.38333333333,15.283333333333,7.9333333333333,4.0666666666667,1,0.41666666666667,0.36666666666667,0.083333333333333,0.016666666666667,0.016666666666667,0,0,0,0,0,0,0,0,0,0,0,0
